	sample_acc	n_reads	n_classified_reads	source	source_class	n_bacterial_reads	species	n_origin_reads	sample_loc	project
225	SRS013951	44004059	2594506	feces	Human feces	2537542	Morganella morganii	0	Unknown	Human Microbiome Project
226	SRS013951	44004059	2594506	feces	Human feces	2537542	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
227	SRS013951	44004059	2594506	feces	Human feces	2537542	Proteus terrae	0	Unknown	Human Microbiome Project
228	SRS013951	44004059	2594506	feces	Human feces	2537542	Providencia rettgeri	0	Unknown	Human Microbiome Project
229	SRS013951	44004059	2594506	feces	Human feces	2537542	Providencia stuartii	0	Unknown	Human Microbiome Project
230	SRS013951	44004059	2594506	feces	Human feces	2537542	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
231	SRS013951	44004059	2594506	feces	Human feces	2537542	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
232	SRS013951	44004059	2594506	feces	Human feces	2537542	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
233	SRS013951	44004059	2594506	feces	Human feces	2537542	Aeromonas media	0	Unknown	Human Microbiome Project
234	SRS013965	30306973	2911157	feces	Human feces	2837530	Morganella morganii	0	Unknown	Human Microbiome Project
235	SRS013965	30306973	2911157	feces	Human feces	2837530	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
236	SRS013965	30306973	2911157	feces	Human feces	2837530	Proteus terrae	0	Unknown	Human Microbiome Project
237	SRS013965	30306973	2911157	feces	Human feces	2837530	Providencia rettgeri	0	Unknown	Human Microbiome Project
238	SRS013965	30306973	2911157	feces	Human feces	2837530	Providencia stuartii	0	Unknown	Human Microbiome Project
239	SRS013965	30306973	2911157	feces	Human feces	2837530	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
240	SRS013965	30306973	2911157	feces	Human feces	2837530	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
241	SRS013965	30306973	2911157	feces	Human feces	2837530	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
242	SRS013965	30306973	2911157	feces	Human feces	2837530	Aeromonas media	0	Unknown	Human Microbiome Project
243	SRS014235	47609453	4206663	feces	Human feces	4060834	Morganella morganii	0	Unknown	Human Microbiome Project
